,date_dob,fjc_id,fl_initial,fml_initial,id,name_first,name_last,name_middle,docket_number,pacer_case_id,district_name,query_district_code,docket_padded,docket,title
302,1920-08-09,447.0,jc,jcc,639,Joseph,Clarke,Calvitt,2:86-cv-888,106658,vae,vaed,8600888,8600888,"2:86-cv-00888-jcc Overton, et al v. Celotex Corporation, et al (closed 05/02/1991)"
303,1920-08-09,447.0,jc,jcc,639,Joseph,Clarke,Calvitt,2:88-cv-690,107229,vae,vaed,8800690,8800690,"2:88-cv-00690-jcc Stephen Jay Photogra, et al v. Olan Mills, et al (closed 05/05/1989)"
304,1920-08-09,447.0,jc,jcc,639,Joseph,Clarke,Calvitt,2:93-cv-1037,115710,vae,vaed,9301037,9301037,"2:93-cv-01037-jcc Higgins, et al v. Medical College, et al (closed 09/07/1994)"
305,1920-08-09,447.0,jc,jcc,639,Joseph,Clarke,Calvitt,2:94-cv-133,117159,vae,vaed,9400133,9400133,"2:94-cv-00133-jcc Vimax Industries, et al v. Hoechst Celanese (closed 07/05/1994)"
306,1920-08-09,447.0,jc,jcc,639,Joseph,Clarke,Calvitt,2:90-cv-135,109080,vae,vaed,900135,900135,2:90-cv-00135-jcc Mabrey v. Manville Corporatin (closed 06/22/1990)
307,1920-08-09,447.0,jc,jcc,639,Joseph,Clarke,Calvitt,2:90-cv-136,109081,vae,vaed,900136,900136,"2:90-cv-00136-jcc Maloney, et al v. Manville Corporation (closed 06/22/1990)"
308,1898-05-25,477.0,jc,jcc,678,John,Collet,Caskie,2:81-cv-772,106276,vae,vaed,8100772,8100772,"2:81-cv-00772-jcc Brown v. Johns-Manville Corp., et al (closed 05/14/1991)"
309,1898-05-25,477.0,jc,jcc,678,John,Collet,Caskie,2:77-cv-267,106196,vae,vaed,7700267,7700267,2:77-cv-00267-jcc Schools v. Johns-Manville Corp. (closed 06/22/1990)
310,1898-05-25,477.0,jc,jcc,678,John,Collet,Caskie,2:86-cv-888,106658,vae,vaed,8600888,8600888,"2:86-cv-00888-jcc Overton, et al v. Celotex Corporation, et al (closed 05/02/1991)"
311,1898-05-25,477.0,jc,jcc,678,John,Collet,Caskie,2:88-cv-690,107229,vae,vaed,8800690,8800690,"2:88-cv-00690-jcc Stephen Jay Photogra, et al v. Olan Mills, et al (closed 05/05/1989)"
312,1898-05-25,477.0,jc,jcc,678,John,Collet,Caskie,2:93-cv-1037,115710,vae,vaed,9301037,9301037,"2:93-cv-01037-jcc Higgins, et al v. Medical College, et al (closed 09/07/1994)"
313,1898-05-25,477.0,jc,jcc,678,John,Collet,Caskie,2:94-cv-133,117159,vae,vaed,9400133,9400133,"2:94-cv-00133-jcc Vimax Industries, et al v. Hoechst Celanese (closed 07/05/1994)"
314,1898-05-25,477.0,jc,jcc,678,John,Collet,Caskie,2:90-cv-135,109080,vae,vaed,900135,900135,2:90-cv-00135-jcc Mabrey v. Manville Corporatin (closed 06/22/1990)
315,1898-05-25,477.0,jc,jcc,678,John,Collet,Caskie,2:90-cv-136,109081,vae,vaed,900136,900136,"2:90-cv-00136-jcc Maloney, et al v. Manville Corporation (closed 06/22/1990)"
316,1897-09-20,494.0,jc,jcc,700,James,Connell,C.,2:81-cv-772,106276,vae,vaed,8100772,8100772,"2:81-cv-00772-jcc Brown v. Johns-Manville Corp., et al (closed 05/14/1991)"
317,1897-09-20,494.0,jc,jcc,700,James,Connell,C.,2:77-cv-267,106196,vae,vaed,7700267,7700267,2:77-cv-00267-jcc Schools v. Johns-Manville Corp. (closed 06/22/1990)
318,1897-09-20,494.0,jc,jcc,700,James,Connell,C.,2:86-cv-888,106658,vae,vaed,8600888,8600888,"2:86-cv-00888-jcc Overton, et al v. Celotex Corporation, et al (closed 05/02/1991)"
319,1897-09-20,494.0,jc,jcc,700,James,Connell,C.,2:88-cv-690,107229,vae,vaed,8800690,8800690,"2:88-cv-00690-jcc Stephen Jay Photogra, et al v. Olan Mills, et al (closed 05/05/1989)"
320,1897-09-20,494.0,jc,jcc,700,James,Connell,C.,2:93-cv-1037,115710,vae,vaed,9301037,9301037,"2:93-cv-01037-jcc Higgins, et al v. Medical College, et al (closed 09/07/1994)"
321,1897-09-20,494.0,jc,jcc,700,James,Connell,C.,2:94-cv-133,117159,vae,vaed,9400133,9400133,"2:94-cv-00133-jcc Vimax Industries, et al v. Hoechst Celanese (closed 07/05/1994)"
322,1897-09-20,494.0,jc,jcc,700,James,Connell,C.,2:90-cv-135,109080,vae,vaed,900135,900135,2:90-cv-00135-jcc Mabrey v. Manville Corporatin (closed 06/22/1990)
323,1897-09-20,494.0,jc,jcc,700,James,Connell,C.,2:90-cv-136,109081,vae,vaed,900136,900136,"2:90-cv-00136-jcc Maloney, et al v. Manville Corporation (closed 06/22/1990)"
324,1941-01-01,516.0,jc,jcc,735,John,Coughenour,C.,2:81-cv-772,106276,vae,vaed,8100772,8100772,"2:81-cv-00772-jcc Brown v. Johns-Manville Corp., et al (closed 05/14/1991)"
