result,docket_padded,docket,district_name
NONE,7301696,7301696,dc
NONE,7301716,7301716,dc
NONE,7301733,7301733,dc
NONE,7301734,7301734,dc
NONE,7301735,7301735,dc
NONE,7301962,7301962,dc
NONE,7302139,7302139,dc
NONE,7302175,7302175,dc
NONE,7302222,7302222,dc
NONE,7400641,7400641,dc
NONE,7400896,7400896,dc
NONE,7401746,7401746,dc
NONE,7401747,7401747,dc
NONE,7401748,7401748,dc
NONE,7401751,7401751,dc
NONE,7401781,7401781,dc
NONE,7401901,7401901,dc
NONE,7500105,7500105,dc
NONE,7500273,7500273,dc
NONE,7500278,7500278,dc
NONE,7500310,7500310,dc
NONE,7500384,7500384,dc
NONE,7500821,7500821,dc
NONE,7500857,7500857,dc
NONE,7500867,7500867,dc
NONE,7500930,7500930,dc
NONE,7501567,7501567,dc
NONE,7501568,7501568,dc
NONE,7501701,7501701,dc
NONE,7501914,7501914,dc
NONE,7502075,7502075,dc
NONE,7600019,7600019,dc
NONE,7600615,7600615,dc
NONE,6602130,6602130,dc
NONE,6602815,6602815,dc
NONE,7002544,7002544,dc
NONE,7100338,7100338,dc
NONE,7101727,7101727,dc
NONE,7200043,7200043,dc
NONE,7201220,7201220,dc
NONE,7202412,7202412,dc
NONE,7300267,7300267,dc
NONE,7300999,7300999,dc
NONE,7301623,7301623,dc
NONE,7301845,7301845,dc
NONE,7302162,7302162,dc
NONE,7400014,7400014,dc
NONE,7400308,7400308,dc
NONE,7400312,7400312,dc
NONE,7400313,7400313,dc
NONE,7400337,7400337,dc
NONE,7400544,7400544,dc
NONE,7400629,7400629,dc
NONE,7401059,7401059,dc
NONE,7401100,7401100,dc
NONE,7401504,7401504,dc
NONE,7401695,7401695,dc
NONE,6800558,6800558,dc
NONE,6903626,6903626,dc
NONE,7100776,7100776,dc
NONE,7101476,7101476,dc
NONE,7200176,7200176,dc
NONE,7200525,7200525,dc
NONE,7201274,7201274,dc
NONE,7201665,7201665,dc
NONE,7202409,7202409,dc
NONE,7202454,7202454,dc
NONE,7202516,7202516,dc
NONE,7300226,7300226,dc
NONE,7300338,7300338,dc
NONE,7300426,7300426,dc
NONE,7300567,7300567,dc
NONE,7300880,7300880,dc
NONE,7300999,7300999,dc
NONE,7301127,7301127,dc
NONE,7301675,7301675,dc
NONE,7301783,7301783,dc
NONE,7301856,7301856,dc
NONE,7302123,7302123,dc
NONE,7302239,7302239,dc
NONE,7400314,7400314,dc
NONE,6603088,6603088,dc
NONE,6903664,6903664,dc
NONE,7002904,7002904,dc
NONE,7100156,7100156,dc
NONE,7200043,7200043,dc
NONE,7200650,7200650,dc
NONE,7200653,7200653,dc
NONE,7200992,7200992,dc
NONE,7201029,7201029,dc
NONE,7201091,7201091,dc
NONE,7201380,7201380,dc
NONE,7201792,7201792,dc
NONE,7202502,7202502,dc
NONE,7202532,7202532,dc
NONE,7300018,7300018,dc
NONE,6802918,6802918,dc
NONE,7003788,7003788,dc
NONE,7003794,7003794,dc
NONE,7100288,7100288,dc
NONE,7100683,7100683,dc
NONE,7100928,7100928,dc
NONE,7101417,7101417,dc
NONE,6800558,6800558,dc
NONE,6901966,6901966,dc
NONE,6902794,6902794,dc
NONE,6903203,6903203,dc
NONE,6903389,6903389,dc
NONE,6903415,6903415,dc
NONE,7001010,7001010,dc
NONE,7001203,7001203,dc
NONE,7001280,7001280,dc
NONE,7001299,7001299,dc
NONE,7001511,7001511,dc
NONE,7001658,7001658,dc
NONE,7002069,7002069,dc
NONE,7002271,7002271,dc
NONE,7002653,7002653,dc
NONE,7003002,7003002,dc
NONE,7100511,7100511,dc
NONE,6400760,6400760,dc
NONE,6400871,6400871,dc
NONE,6601515,6601515,dc
NONE,6702812,6702812,dc
NONE,6800586,6800586,dc
NONE,6803061,6803061,dc
NONE,6803219,6803219,dc
NONE,6902071,6902071,dc
NONE,6902072,6902072,dc
NONE,6902080,6902080,dc
NONE,6902600,6902600,dc
NONE,6902602,6902602,dc
NONE,6903204,6903204,dc
NONE,6903541,6903541,dc
NONE,7000543,7000543,dc
NONE,8100459,8100459,dc
NONE,8203362,8203362,dc
NONE,8300416,8300416,dc
NONE,8302791,8302791,dc
NONE,8500765,8500765,dc
NONE,8502058,8502058,dc
NONE,8502475,8502475,dc
NONE,8303568,8303568,dc
NONE,8303569,8303569,dc
NONE,8303631,8303631,dc
NONE,8303671,8303671,dc
NONE,8600629,8600629,dc
NONE,7900126,7900126,me
NONE,7900097,7900097,me
NONE,8000186,8000186,me
NONE,7800075,7800075,me
NONE,7400127,7400127,me
NONE,7600020,7600020,me
NONE,7500064,7500064,me
NONE,7500090,7500090,me
NONE,7500096,7500096,me
NONE,7500109,7500109,me
NONE,7500135,7500135,me
